objectId,redDecimal,blueHex,greenFraction,hexCode,ACL,redHex,name,updatedAt,greenDecimal,redFraction,blueDecimal,greenHex,createdAt,blueFraction
lAmlqEBVhU,28,BB,0.22,#1C39BB,null,1C,Persian blue,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),57,0.11,187,39,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.73
AsKkFSEI5s,1,6F,0.47,#01796F,null,01,Pine green,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),121,0,111,79,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.44
OpeslyAPrs,112,1C,0.11,#701C1C,null,70,Persian plum,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),28,0.44,28,1C,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.11
888iBTuI9E,254,A2,0.16,#FE28A2,null,FE,Persian rose,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),40,1,162,28,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.64
hNDqLjHbBR,204,33,0.2,#CC3333,null,CC,Persian red,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),51,0.8,51,33,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.2
ETgDLlaaNt,139,B7,0.66,#8BA8B7,null,8B,Pewter Blue,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),168,0.55,183,A8,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.72
FActn6ftEe,247,BE,0.5,#F77FBE,null,F7,Persian pink,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),127,0.97,190,7F,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.75
C8z75lwZ0c,223,FF,0,#DF00FF,null,DF,Phlox,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0,0.87,255,00,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),1
7CRRuS5YX7,236,00,0.35,#EC5800,null,EC,Persimmon,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),88,0.93,0,58,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0
lcmTMDWF3J,18,24,0.21,#123524,null,12,Phthalo green,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),53,0.07,36,35,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.14
BgOKubyQJE,46,87,0.15,#2E2787,null,2E,Picotee blue,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),39,0.18,135,27,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.53
kcGscG5RMB,255,CB,0.75,#FFC0CB,null,FF,Pink,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),192,1,203,C0,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.8
n4g73CFoJf,0,89,0.06,#000F89,null,00,Phthalo blue,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),15,0,137,0F,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.54
zq94ikS6QJ,195,4E,0.04,#C30B4E,null,C3,Pictorial carmine,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),11,0.76,78,0B,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.31
99Ifb9BNVJ,253,E6,0.87,#FDDDE6,null,FD,Piggy pink,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),221,0.99,230,DD,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.9
jPRClNJ32i,42,23,0.18,#2A2F23,null,2A,Pine tree,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),47,0.16,35,2F,Fri Dec 13 2019 17:44:26 GMT-0600 (Central Standard Time),0.14
Qj0JoKuq4j,215,94,0.28,#D74894,null,D7,Pink (Pantone),Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),72,0.84,148,48,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.58
XEuoXFPhP1,147,72,0.77,#93C572,null,93,Pistachio,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),197,0.58,114,C5,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.45
cFHKFBLBOJ,0,53,0.19,#003153,null,00,Prussian blue,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),49,0,83,31,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.33
0J9PXuMtcE,247,A7,0.56,#F78FA7,null,F7,Pink Sherbet,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),143,0.97,167,8F,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.65
fCqtobpgDF,252,FD,0.45,#FC74FD,null,FC,Pink flamingo,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),116,0.99,253,74,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.99
