objectId,redDecimal,blueHex,greenFraction,hexCode,ACL,redHex,name,updatedAt,greenDecimal,redFraction,blueDecimal,greenHex,createdAt,blueFraction
0m1SpFp1HE,233,4B,0.36,#E95C4B,null,E9,Fire opal,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),92,0.91,75,5C,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.29
5EGVUG5YgQ,237,E0,0.92,#EDEAE0,null,ED,Alabaster,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),234,0.93,224,EA,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.88
TGacbllNQB,237,21,0.57,#ED9121,null,ED,Carrot orange,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),145,0.93,33,91,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.13
F2iMoTC8id,238,82,0.86,#EEDC82,null,EE,Flax,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),220,0.93,130,DC,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.51
rzt5hwSfS4,233,51,0.45,#E97451,null,E9,Burnt sienna,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),116,0.91,81,74,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.32
Q86NnhHFQz,227,22,0,#E30022,null,E3,Cadmium red,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0,0.89,34,00,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.13
rlWSBgFUR4,233,7A,0.59,#E9967A,null,E9,Dark salmon,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),150,0.91,122,96,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.48
FVBNzgWOIb,226,22,0.35,#E25822,null,E2,Flame,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),88,0.89,34,58,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.13
OHqRV9Q27c,227,C9,0.85,#E3DAC9,null,E3,Bone,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),218,0.89,201,DA,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.79
p8PgCK5BMg,229,50,0.17,#E52B50,null,E5,Amaranth,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),43,0.9,80,2B,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.31
HS2PFvpJFb,233,A7,0.21,#E936A7,null,E9,Frostbite,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),54,0.91,167,36,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.65
LESqLIwCMi,228,00,0.52,#E48400,null,E4,Fulvous,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),132,0.89,0,84,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0
7ldwQQyS2Y,230,AC,0.56,#E68FAC,null,E6,Charm pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),143,0.9,172,8F,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.67
AmF5NsnD7B,228,7A,0.44,#E4717A,null,E4,Candy pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),113,0.89,122,71,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.48
PeWmF8SsYD,229,70,0.67,#E5AA70,null,E5,Fawn,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),170,0.9,112,AA,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.44
HxFRE5dA8P,228,0A,0.82,#E4D00A,null,E4,Citrine,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),208,0.89,10,D0,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.04
u6DmRWaqGF,227,34,0.26,#E34234,null,E3,Cinnabar,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),66,0.89,52,42,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.2
yDBgcZpOGc,224,31,0.24,#E03C31,null,E0,CG red,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),60,0.88,49,3C,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.19
crCjzt8Q11,220,3C,0.08,#DC143C,null,DC,Crimson,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),20,0.86,60,14,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.24
wta4ZLHX6h,225,5F,0.66,#E1A95F,null,E1,Earth yellow,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),169,0.88,95,A9,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.37
1GEgTJracE,222,A1,0.44,#DE6FA1,null,DE,China pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),111,0.87,161,6F,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.63
K6yzZF3bzV,222,83,0.36,#DE5D83,null,DE,Blush,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),93,0.87,131,5D,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.51
0qYfViyy7g,223,00,1,#DFFF00,null,DF,Chartreuse (traditional),Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),255,0.87,0,FF,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0
kFyR0hHySE,222,87,0.72,#DEB887,null,DE,Burlywood,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),184,0.87,135,B8,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.53
JS1InI1lx0,222,63,0.19,#DE3163,null,DE,Cerise,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),49,0.87,99,31,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.39
qfdyiR6JNo,218,84,0.09,#DA1884,null,DA,Barbie Pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),24,0.85,132,18,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.52
5XTjZL6paa,222,85,0.32,#DE5285,null,DE,Fandango pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),82,0.87,133,52,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.52
0vxh4faCDU,218,87,0.2,#DA3287,null,DA,Deep cerise,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),50,0.85,135,32,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.53
lEGYWgpdDu,210,1E,0.41,#D2691E,null,D2,Chocolate (web),Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),105,0.82,30,69,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.12
9vOmpIESv9,216,EF,0.57,#D891EF,null,D8,Bright lilac,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),145,0.85,239,91,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.94
RA5EtxWWEj,215,68,0.09,#D71868,null,D7,Dogwood rose,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),24,0.84,104,18,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.41
qDH3jTARKq,215,40,0,#D70040,null,D7,Carmine (M&P),Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0,0.84,64,00,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.25
NILAlsMKbz,218,67,0.54,#DA8A67,null,DA,Copper (Crayola),Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),138,0.85,103,8A,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.4
tGuAj5afoj,211,2D,0.13,#D3212D,null,D3,Amaranth red,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),33,0.83,45,21,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.18
cbjZNd2FKs,212,D4,0.45,#D473D4,null,D4,French mauve,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),115,0.83,212,73,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.83
TfHhT1HaLB,210,1E,0.41,#D2691E,null,D2,Cocoa brown,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),105,0.82,30,69,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.12
8sVtCH7GNr,208,14,1,#D0FF14,null,D0,Arctic lime,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),255,0.82,20,FF,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.08
1Lo62aLLHM,206,29,0.13,#CE2029,null,CE,Fire engine red,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),32,0.81,41,20,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.16
lyaUfmgUGB,201,49,0.35,#C95A49,null,C9,Cedar Chest,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),90,0.79,73,5A,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.29
F9eVvyPjye,193,6B,0.6,#C19A6B,null,C1,Camel,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),154,0.76,107,9A,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.42
A7Z3Qou4KZ,204,00,0.33,#CC5500,null,CC,Burnt orange,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),85,0.8,0,55,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0
UaLvljI9kQ,199,48,0.17,#C72C48,null,C7,French raspberry,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),44,0.78,72,2C,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.28
lAWncOoL5W,201,E5,1,#C9FFE5,null,C9,Aero blue,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),255,0.79,229,FF,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.9
Mo2kE05yco,202,0D,0.88,#CAE00D,null,CA,Bitter lemon,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),224,0.79,13,E0,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.05
Gf3Q6mCBgi,205,7E,0.38,#CD607E,null,CD,Cinnamon Satin,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),96,0.8,126,60,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.49
jwTKINnMAV,195,48,0.13,#C32148,null,C3,Bright maroon,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),33,0.76,72,21,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.28
2LM8qJuaBo,193,6B,0.6,#C19A6B,null,C1,Desert,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),154,0.76,107,9A,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.42
wmRmCLKqkZ,204,7B,0.22,#CC397B,null,CC,Fuchsia purple,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),57,0.8,123,39,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.48
yMSdkqxoOn,204,4B,0.28,#CC474B,null,CC,English vermillion,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),71,0.8,75,47,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.29
vShXA4Szyh,205,75,0.58,#CD9575,null,CD,Antique brass,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),149,0.8,117,95,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.46
y02boDo7lJ,205,32,0.5,#CD7F32,null,CD,Bronze,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),127,0.8,50,7F,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.2
XJMG5tDbA8,204,00,1,#CCFF00,null,CC,Electric lime,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),255,0.8,0,FF,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0
gG4ODhqAdX,199,75,0.26,#C74375,null,C7,Fuchsia rose,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),67,0.78,117,43,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.46
cnrkoTnXmC,203,54,0.25,#CB4154,null,CB,Brick red,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),65,0.8,84,41,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.33
DPhJlQJ3F0,196,10,0.38,#C46210,null,C4,Alloy orange,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),98,0.77,16,62,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.06
G6tHahOUj3,203,51,0.43,#CB6D51,null,CB,Copper red,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),109,0.8,81,6D,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.32
Tzk1s5R0XO,196,3A,0.12,#C41E3A,null,C4,Cardinal,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),30,0.77,58,1E,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.23
hR9EsAOTPu,191,00,1,#BFFF00,null,BF,Bitter lime,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),255,0.75,0,FF,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0
IEpEO0szLD,180,95,0.51,#B48395,null,B4,English lavender,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),131,0.71,149,83,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.58
AiqWHIldaI,178,FF,1,#B2FFFF,null,B2,Celeste,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),255,0.7,255,FF,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),1
rWvW6yNAeR,189,6B,0.72,#BDB76B,null,BD,Dark khaki,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),183,0.74,107,B7,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.42
0XCyXVIDyx,193,6B,0.6,#C19A6B,null,C1,Fallow,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),154,0.76,107,9A,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.42
J7yYBVyexB,193,C1,0.33,#C154C1,null,C1,Fuchsia (Crayola),Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),84,0.76,193,54,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.76
BhrOQeUTEj,194,80,0.7,#C2B280,null,C2,Ecru,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),178,0.76,128,B2,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.5
uramfD0ZsU,191,51,0.31,#BF4F51,null,BF,Bittersweet shimmer,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),79,0.75,81,4F,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.32
rLZnPitdD0,188,E6,0.83,#BCD4E6,null,BC,Beau blue,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),212,0.74,230,D4,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.9
XVq2EcBE67,191,B2,0.69,#BFAFB2,null,BF,Black Shadows,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),175,0.75,178,AF,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.7
NAbfFf8UKB,191,FF,0,#BF00FF,null,BF,Electric purple,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0,0.75,255,00,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),1
TRL5ZovrJ2,189,A4,0.2,#BD33A4,null,BD,Byzantine,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),51,0.74,164,33,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.64
aEzZ6nscbq,185,EB,0.85,#B9D9EB,null,B9,Columbia Blue,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),217,0.73,235,D9,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.92
isHVHGiC8h,184,0B,0.53,#B8860B,null,B8,Dark goldenrod,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),134,0.72,11,86,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.04
wnGuYnO9IS,184,33,0.45,#B87333,null,B8,Copper,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),115,0.72,51,73,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.2
DCusqRKh93,185,48,0.31,#B94E48,null,B9,Deep chestnut,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),78,0.73,72,4E,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.28
HD5RqI27Fn,179,1B,0.11,#B31B1B,null,B3,Carnelian,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),27,0.7,27,1B,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.11
hFEWNWbkPN,178,BE,0.52,#B284BE,null,B2,African violet,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),132,0.7,190,84,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.75
e3fneaIWRG,181,89,0.2,#B53389,null,B5,Fandango,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),51,0.71,137,33,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.54
m9xFE1HEvo,178,B5,0.75,#B2BEB5,null,B2,Ash gray,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),190,0.7,181,BE,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.71
Fvv4XRwG1T,173,69,0.44,#AD6F69,null,AD,Copper penny,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),111,0.68,105,6F,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.41
bq8Vbk0ASj,165,2A,0.16,#A52A2A,null,A5,Auburn,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),42,0.65,42,2A,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.16
eFfuZCCk1H,172,AF,0.88,#ACE1AF,null,AC,Celadon,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),225,0.67,175,E1,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.69
F0nTcwK922,176,1A,0.75,#B0BF1A,null,B0,Acid green,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),191,0.69,26,BF,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.1
zeJK2qSI5k,171,4F,0.15,#AB274F,null,AB,Amaranth purple,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),39,0.67,79,27,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.31
HQbFiFRaeN,175,4D,0.43,#AF6E4D,null,AF,Brown sugar,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),110,0.69,77,6E,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.3
LKwMdvr3YF,162,D0,0.64,#A2A2D0,null,A2,Blue bell,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),162,0.64,208,A2,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.82
4zJgo4PEIl,178,22,0.13,#B22222,null,B2,Firebrick,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),34,0.7,34,22,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.13
6nWcNzNjuV,170,1E,0.22,#AA381E,null,AA,Chinese red,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),56,0.67,30,38,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.12
DwJWRCBADt,171,52,0.29,#AB4B52,null,AB,English red,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),75,0.67,82,4B,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.32
mxwNjL6crG,166,5B,0.48,#A67B5B,null,A6,Café au lait,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),123,0.65,91,7B,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.36
oYH1hkDzHu,169,C3,0.7,#A9B2C3,null,A9,Cadet blue (Crayola),Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),178,0.66,195,B2,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.76
Ud6YndAn87,172,EE,0.9,#ACE5EE,null,AC,Blizzard blue,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),229,0.67,238,E5,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.93
QEpRulIvCK,168,6E,0.32,#A8516E,null,A8,China rose,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),81,0.66,110,51,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.43
GrGfXNDQ6Y,166,5B,0.48,#A67B5B,null,A6,French beige,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),123,0.65,91,7B,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.36
gTJYPuNazN,165,64,0.44,#A57164,null,A5,Blast-off bronze,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),113,0.65,100,71,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.39
B3dhSlI0r4,162,6D,0,#A2006D,null,A2,Flirt,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0,0.64,109,00,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.43
lxXmKtDXkS,164,39,0.78,#A4C639,null,A4,Android green,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),198,0.64,57,C6,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.22
1kWZkFRzbh,163,AD,0.76,#A3C1AD,null,A3,Cambridge blue,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),193,0.64,173,C1,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.68
1uy6DstFEa,161,F1,0.79,#A1CAF1,null,A1,Baby blue eyes,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),202,0.63,241,CA,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.95
lyVPACqwjE,159,68,0.17,#9F2B68,null,9F,Amaranth (M&P),Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),43,0.62,104,2B,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.41
iZG5Mg1Mor,152,7B,0.51,#98817B,null,98,Cinereous,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),129,0.6,123,81,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.48
vCn1WIOeoV,150,17,0.44,#967117,null,96,Drab,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),113,0.59,23,71,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.09
0D1Ct58jos,159,1F,0.66,#9FA91F,null,9F,Citron,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),169,0.62,31,A9,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.12
PHyhixzDEX,159,70,0.51,#9F8170,null,9F,Beaver,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),129,0.62,112,81,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.44
X69ISKbQfq,158,32,0.11,#9E1B32,null,9E,Crimson (UA),Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),27,0.62,50,1B,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.2
mCm149o4TP,145,B0,0.64,#91A3B0,null,91,Cadet grey,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),163,0.57,176,A3,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.69
8RcAXxeEPt,161,74,0.48,#A17A74,null,A1,Burnished brown,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),122,0.63,116,7A,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.45
etq9XCE5Nl,156,42,0.15,#9C2542,null,9C,Big dip o’ruby,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),37,0.61,66,25,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.26
gI6GZaNfQa,158,38,0.99,#9EFD38,null,9E,French lime,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),253,0.62,56,FD,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.22
vdZHHsID17,153,CC,0.4,#9966CC,null,99,Amethyst,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),102,0.6,204,66,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.8
25hUCrdsnF,153,66,0.4,#996666,null,99,Copper rose,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),102,0.6,102,66,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.4
YPnSm0uEPd,150,A2,0.78,#96C8A2,null,96,Eton blue,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),200,0.59,162,C8,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.64
G2NsvDonbU,150,18,0,#960018,null,96,Carmine,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0,0.59,24,00,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.09
rZfKS7A1EM,150,17,0.44,#967117,null,96,Bistre brown,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),113,0.59,23,71,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.09
HbuUNXQnbi,153,CC,0.2,#9932CC,null,99,Dark orchid,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),50,0.6,204,32,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.8
UxmO0WH3dU,148,D3,0,#9400D3,null,94,Dark violet,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0,0.58,211,00,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.83
q3foRBmDvq,143,79,0.59,#8F9779,null,8F,Artichoke,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),151,0.56,121,97,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.47
zCy9yYNiwk,149,35,0.27,#954535,null,95,Chestnut,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),69,0.58,53,45,Fri Dec 13 2019 17:44:21 GMT-0600 (Central Standard Time),0.21
